english,french,inuktitut
A27,Z27,NA
A2W,Z2O,NA
AAV,VAM,NA
Abundance,Abondance,NA
Abyssal Skate,raie abyssale,NA
Age,Âge,NA
Age (years),Âge (années),NA
Age at maturity,Âge à maturité,NA
Age frequencies,Fréquences d'âge,NA
Age structures,Structure par âge,NA
Ageing codes,Codes de vieillissement,NA
Ageing precision,Précision de al détermination de l'âge,NA
Alaska Skate,raie de l’Alaska,NA
Albion Test Fishery,Pêche d’essai à Albion,NA
Aleutian Skate,raie aléoutienne,NA
and,et,NA
Apr,avr,NA
Area 2 West,Zone 2 ouest,NA
Area 27,Zone 27,NA
Arrowtooth Flounder,plie à grande bouche,NA
Aug,août,NA
Aurora Rockfish,sébaste aurore,NA
Average Annual Variability,Variabilité annuelle moyenne,NA
Average F,F moyen,NA
Average M,M moyen,NA
Average Proportion of ERI Attributed to Each Sector in Zone 1 Years,Proportion moyenne de l’ITE attribuée à chaque secteur dans les années de la zone 1,NA
Average Relative Change in ERI from 2009-2011 to Zone 1 Years,Changement relatif moyen de l’ITE de 2009­2011 dans les années de la zone 1,NA
Avg.,Moy.,NA
Avg. Weekly Return to Fraser,Remontée moyenne hebdomadaire au Fraser,NA
Basking Shark,requin-pèlerin,NA
Big Skate,raie biocellée,NA
Bigfin Eelpout,lycode à grandes nageoires,NA
Bigmouth Sculpin,hémitriptère à grande bouche,NA
Biological,Biologique,NA
Biomass,Biomasse,NA
Biomass estimate (kg/km^2),Estimation de la biomasse (kg/km2),NA
Biomass estimate divided by geometric mean,Estimation de la biomasse/moyenne géométrique,NA
Black Eelpout,lycode noire,NA
Black Rockfish,sébaste noir,NA
Blackbelly Eelpout,lycode à ventre noir,NA
Blackfin Sculpin,chabot à nageoires noires,NA
Blackgill Rockfish,sébaste blackgill,NA
Blacktail Snailfish,limace à queue noire,NA
Blue Shark,requin bleu,NA
Bluntnose Sixgill Shark,requin griset,NA
Bocaccio,sébaste bocace,NA
Bonaparte 2018 : PS Mort High,Bonaparte 2018 : Pic de mortal. avant le frai,NA
Bonaparte 2018 : PS Mort Low,Bonaparte 2018 : Creux de mortal. avant le frai,NA
Bottom trawl,Chalut de fond,NA
British Columbia,Colombie-Britannique,NA
Broad Skate,raie large,NA
Brood Year,Année d’éclosion,NA
Brown Cat Shark,holbiche brune,NA
BT,CF,NA
Buffalo Sculpin,chabot-bison,NA
Butter Sole,plie à écailles régulières,NA
by,par,NA
C-O Sole,C-O sole,NA
C O Sole,C O sole,NA
Cabezon,chabot marbré,NA
California Grenadier,grenadier de Californie,NA
Canadian marine,Pêches canadiennes en mer,NA
Canary Rockfish,sébaste canari,NA
Catch,Prise,NA
Catch rate (fish/effective skate),Taux de prise (poisson/raie réelle),NA
Cautious zone,Zone de prudence,NA
CC,CC,NA
CDF Age,CDF âge,NA
Central Coast,Côte centrale,NA
Chilipepper,sébaste de Goode,NA
Chilko River,Rivière Chilko,NA
China Rockfish,sébaste à bandes jaunes,NA
Chinook,les quinnats,NA
Clipped Spawners,Géniteurs à la Nageoire Coupée,NA
Coastwide,Ensemble de la côte,NA
Cohort Marine Survival for Nicola,Survie en mer de la cohorte du ruisseau Nicola,NA
Cohort Survival,Survie de la cohorte,NA
Commercial,Pêche comm.,NA
Commercial bottom trawl CPUE,PUE chalut de fond commercial,NA
Commercial catch,Prises commerciales,NA
Commercial H & L CPUE,PUE commercial H & L,NA
Commercial hook and line CPUE,PUE des pêches commerciales à l'hameçon et à la ligne,NA
Commercial samples,Échantillons commerciaux,NA
Commercial specimen counts,Décompte des spécimens du commercial,NA
Commercial trawl catch per unit effort (CPUE),Captures par unité d’effort (CPUE) du chalutage commercial,NA
Commercial trawl CPUE,PUE chalut commercial,NA
Common name,Nom commun,NA
Conservation,Conservation,NA
Copper Rockfish,sébaste cuivré,NA
Correlation,Corrélation,NA
COSEWIC Status,Désignation du COSEPAC,NA
COSEWIC Status Report,Rapports de situation du COSEPAC,NA
CPUE,PUE,NA
Criterion,Critère,NA
Critical zone,Zone critique,NA
CTC Time Series,Séries chronologiques du CTSQ,NA
Cumulative Effects Assessment Steps,Étapes de l’évaluation des effets cumulatifs,NA
Cumulative Probability,Probabilité cumulative,NA
Curlfin Sole,plie à nageoires frisées,NA
CWT,MMC,NA
CWT-Based ERI,ITE obtenu par les MMC,NA
CWT age,âge MMC,NA
CWT Age,Âge MMC,NA
Darkblotched Rockfish,sébaste tacheté,NA
Data,Données,NA
Data Deficient,Données insuffisantes,NA
"Data Quality Across SMUs, Over Time",Qualité des données sur les ZG,au fil du temps
Data Quality Classes,Catégories de qualité des données,NA
Deacon Rockfish,sébaste Deacon,NA
Dec,déc,NA
Decrease,Diminution,NA
Deepsea Sole,plie de profondeur,NA
Density,Densité,NA
Depth,Profondeur,ᐃᑎᔪᖅ
Design based,Axé sur la conception,NA
Deviance,Déviance,NA
Deviance as a Function of ERI,de déviance en fonction de l’ITE,NA
Deviance as a Function of Escapement,Déviance comme fonction de l’échappée,NA
Deviance Over Time,Déviance au fil du temps,NA
Deviation from expected biomass in log space,Écart par rapport à la biomasse prévue dans l’espace de relevé,NA
Direction of Change,Orientation du changement,NA
Discarded,Rejetées,NA
Distance,Distance,NA
Dive,Plongée,NA
Dive survey,Relevé de plongée,NA
DNA Stock Comp.,Compo. de l’ADN des stocks,NA
DNA+RR,ADN+RR,NA
Dover Sole,limande sole du Pacifique,NA
Dusky Rockfish,sébaste cilié,NA
Dwarf Wrymouth,terrassier nain,NA
Early summer,Début de l’été,NA
Easting,Abscisse,NA
Effective harvest rate,Taux de récolte effectif,NA
Embryos,Des embryons,NA
Endangered,En voie de disparition,NA
Endeavour Hydrothermal Vents Marine Protected Area,Zone de protection marine du champ hydrothermal Endeavour,NA
English Sole,carlottin anglais,NA
Equipment,équipement,NA
ER Index,Indice du taux d’exploitation,NA
ERI Time Series,Série chronologique de l’ITE,NA
Escapement,Échappées,NA
Escapement estimates,Estimations de l’échappée,NA
"Estimated Fraser River run size, by SMU","Estimation de la remonte du fleuve Fraser, par zone de gestion",NA
Escapement Time Series,Série chronologique sur les échappées,NA
"Estimated in­river catch, by SMU & Fishery","Prises estimées dans les cours d’eau, par ZG et par pêche",NA
"Estimated marine catch, by SMU & fishery","Prises marines estimées, par zone de gestion et par pêche",NA
Exploitation Rate Index (5%),Indice du taux d’exploitation (5 %),NA
Fall,Automne,NA
Family,Famille,NA
Feb,fev,NA
Female,Femelle,NA
Females,Femelles,NA
fish,poisson,NA
Fish residence time in each fishing area,Temps de séjour du poisson dans chaque zone de pêche,NA
fish/skate,poisson/raie,NA
Fishing events excluded due to Privacy Act,Activités de pêche exclues en raison de la Loi sur la protection des renseignements personnels,NA
fishing gear,engin peche,NA
Flathead Sole,balai du Japon,NA
for,pour,NA
Fork Length,Longueur à la Fourche,NA
Fork Length (cm),Longueur à la Fourche (cm),NA
Fraser Comm.,"Pêche comm., fleuve Fraser",NA
Fraser EO,"PÉ, fleuve Fraser",NA
Fraser FSC,"Pêche ASR, fleuve Fraser",NA
Fraser Net,"Fleuve Fraser, filet",NA
Fraser Rec.,"Pêche récr., fleuve Fraser",NA
Fraser River,Fleuve Fraser,NA
Fraser Test,"Pêche d'essai, fleuve Fraser",NA
Fraser Troll,"Fleuve Fraser, pêche à la traîne",NA
Frequency,Fréquence,NA
FSC,Pêche ASR,NA
Gear,Engin,NA
Geometric mean of hook and line CPUE (fish/set),Moyenne géométrique des CPUE à l’hameçon et à la ligne (poisson/ensemble),NA
Geometric mean of trawl CPUE (kg/hr),Moyenne géométrique des CPUE du chalut (kg/h),NA
Geostatistical,Géostatique,NA
Giant Blobsculpin,chabot maculé,NA
Giant Grenadier,grenadier géant,NA
Giant Wrymouth,terrassier géant,NA
GMA,ZGPF,NA
GMU,GGPF,NA
Gravid,Gravides,NA
Great Sculpin,grand chaboisseau,NA
Greenstriped Rockfish,sébaste à bandes vertes,NA
Groundfish trawl fishery footprint,Empreinte de la pêche au chalut du poisson de fond,NA
Growth,Croissance,NA
GSI stock composition,Composition des stocks IGS,NA
Gwaii Haanas National Marine Conservation Area,Aire marine nationale de conservation Gwaii Haanas,NA
Haida Gwaii,Haida Gwaii,NA
Harlequin Rockfish,sébaste arlequin,NA
HBLL OUT survey biomass,Biomasse du relevé HBLL OUT,NA
Healthy zone,Zone saine,NA
Hecate Strait/Queen Charlotte Sound Sponge Reef Closures,Fermeture des récifs d'éponges siliceuses du détroit d'Hecate et du détroit de la Reine Charlotte,NA
Herring,hareng,NA
HG,HG,NA
High,Élevé,NA
Hook and line,Hameçon et ligne,NA
HR,TR,NA
Immature,Immatures,NA
In press,Sous presse,NA
Increase,Augmentation,NA
Infilled,Regarnissage,NA
Infilled Stock Comp.,Compo. stocks regarnis,NA
Information on spawn timing,Information sur le moment du frai,NA
Information on weekly fishing patterns,Information sur les habitudes de pêche hebdomadaire,NA
"In­river catch, weekly by fishery and fishing area","Prises hebdomadaires en rivière, par pêcherie et par zone de pêche",NA
Instantaneous natural mortality,Mortalité naturelle instantanée,NA
IPHC Report of Assessment and Research Activities,Rapport de la CIFP sur les activités d'évaluation et de recherche,NA
IPHC survey catch rate,Taux de capture du relevé IPHC,NA
Jan,jan,NA
JDF,JDF,NA
JDF Rec.,"Pêche récr.,JDF",NA
Johnstone Strait Rec.,"Pêche récr.,détroit de Johnstone",NA
Jul,juil,NA
Jun,juin,NA
Kelp Greenling,sourcil de varech,NA
Label,Étiquette,NA
Last Research Document,Plus récent document de recherche,NA
Last Science Advisory Report,Dernier avis scientifique,NA
Late summer,Fin de l’été,NA
Length,Longueur,NA
Length-weight relationship,Relation longueur-poids,NA
Length at maturity,Longueur à maturité,NA
Length frequencies,Fréquences de longueur,NA
Lengths,Longueurs,NA
Lingcod,morue-lingue,NA
Link,Lien,NA
Log of standardized CPUE,Log de CPUE standardisé,NA
Log recruitment deviations,Log des écarts du recrutement,NA
Longnose Skate,pocheteau long-nez,NA
Longspine Thornyhead,sébastolobe à longues épines,NA
Low,Faible,NA
Lower Adams,Bas Adams,NA
Lower Fraser,Bas Fraser,NA
Lower Shuswap,Basse Shuswap,NA
Lower Thompson,Basse Thompson,NA
LRP,PRL,NA
Male,Mâle,NA
Males,Mâles,NA
Mar,mar,NA
Maria Slough,Marécage Maria,NA
Marine Catch Estimate,Prises marines estimées,NA
Mature,Matures,NA
Maturing,En maturation,NA
Maturity,Maturité,NA
Maturity frequencies,Fréquences de maturité,NA
May,mai,NA
MCMC,MCCM,NA
Mean,Moyenne,NA
Mean +ve sets,Moyenne des ensembles +,NA
Mean coefficient of variance,Coefficient moyen de variance,NA
Mean estimate (kg/km^2),Estimation moyenne (kg/km^2),NA
Mean positive sets,Moyenne des ensembles positifs,NA
Median,Médiane,NA
Medium,Moyen,NA
Mid Fraser,Mi­Fraser,NA
Mid summer,Milieu de l’été,NA
Middle Shuswap,Moyenne Shuswap,NA
Midwater trawl,Chalutage pélagique,NA
MP,PG,NA
MSY,RMS,NA
MW,CP,NA
NBC,N.C.-B.,NA
NBC Abundance Ratio,Ratio d’abondance N.C.-B.,NA
NBC Rec.,"Pêche récr., N.C.-B.",NA
NBC Troll,"Pêche à la traîne, N.C.-B.",NA
Nicola River,Ruisseau Nicola,NA
No Status,Sans statut,NA
North Pacific Spiny Dogfish,aiguillat commun du Pacifique Nord,NA
North Thompson,Thompson nord,NA
Northing,Ordonnée,NA
Not at Risk,Non en péril,NA
Not detected,Non détecté,NA
Nov,nov,NA
Number-at-age,Nombre selon l’âge,NA
Number at age,Nombre selon l’âge,NA
Number of age-2 recruits,Nombre de recrues d’âge 2,NA
Number of hooks returned each year,Nombre d’hameçons récupérés chaque année,NA
Number of Sites,Nombre de sites,NA
NWVI,NOIV,NA
Objective,Objectif,NA
Oct,oct,NA
of age,d'âge,NA
of size,de taille,NA
Order,Ordre,NA
Original,Version originale,NA
Other,Autre,NA
Other fisheries,Autres pêches,NA
Pacific Cod,morue du Pacifique,NA
Pacific Flatnose,antimore à petites écailles,NA
Pacific Grenadier,grenadier du Pacifique,NA
Pacific Hake,merlu du Chili,NA
Pacific Halibut,flétan du Pacifique,NA
Pacific Ocean,Océan Pacifique,NA
Pacific Ocean Perch,sébaste à longue mâchoire,NA
Pacific Sand Lance,lançon du Pacifique,NA
Pacific Sanddab,limande sordide,NA
Pacific Scientific Advice Review Committee (PSARC) assessment,Évaluation du Comité d'examen des évaluations scientifiques du Pacifique (CEESP),NA
Pacific Sleeper Shark,laimargue du Pacifique,NA
Pacific Staghorn Sculpin,chabot armé,NA
Pacific Tomcod,poulamon du Pacifique,NA
Pearly Prickleback,stichée perlée,NA
Petrale Sole,plie de Californie,NA
POH Length (cm),Longueur POH (cm),NA
PRD,DPR,NA
Pre-COSEWIC Review,Examen pré-COSEPAC,NA
Predicted biomass density (kg/m2),Densité prévue de la biomasse (kg/m2),NA
Prediction (depth effects + spatial random effects),Prédiction (effets de profondeur + effets aléatoires spatiaux),NA
Prediction (depth effects only),Prédiction (effets de profondeur seulement),NA
Prediction (fixed effects + all random effects),Prédiction (effets fixes + tous les effets aléatoires),NA
Prediction (fixed effects only),Prédiction (effets fixes seulement),NA
Primary age (years),Âge primaire (ans),NA
Prince Rupert District,District de Prince Rupert,NA
Probability mature,Probabilité de maturité,NA
Projection: BC Albers (NAD 1983),Projection : BC Albers (NAD 1983),NA
Proportion,Proportion,NA
Proportion Age,Proportion d’âge,NA
Proportion at Age,Proportion selon l’âge,NA
Proportion of Catch,Proportion des prises,NA
Proportion of Fish,Proportion de Poisson,NA
Prowfish,zaprora,NA
Puget Sound Rockfish,sébaste paradeur,NA
Pygmy Rockfish,sébaste pygmée,NA
Quillback Rockfish,sébaste à dos épineux,NA
Ragfish,torchon mou,NA
Recreational,Pêche récréative,NA
Recruitment,Recrutement,NA
Red Irish Lord,chabot trilobé rouge,NA
Redbanded Rockfish,sébaste bandes rouges,NA
Redstripe Rockfish,sébaste à raie rouge,NA
Reference point,Point de référence,NA
Relative catch rate index,Indice du taux de prises relatif,NA
Relative length frequency,Fréquence de longueur relative,NA
Release Mortality: IFMP,Mortalité à la remise à l’eau: PGIP,NA
Releases: JDF Rec 20,"Rejets: JDF, pêche récréative 20",NA
Releases: JDF Rec 60,"Rejets: JDF, pêche récréative 60",NA
Rescaled,Indice remis à l'échelle,NA
Residual,Résiduels,NA
Resting,Au repos,NA
Rex Sole,plie cynoglosse royale,NA
Ripe,Mûrs,NA
Rockfish Conservation Areas,Aires de conservation des sébastes,NA
Roe gillnet fishery,Pêche au hareng rogué au filet maillant,NA
Roe seine fishery,Pêche au hareng rogué à la senne,NA
RoeGN,RogueFM,NA
RoeSN,RogueSN,NA
Rosethorn Rockfish,sébaste rosacé,NA
Rougheye Blackspotted Rockfish Complex,complexe du sébaste à œil épineux/sébaste à taches noires,NA
Rougheye/Blackspotted,œil épineux/taches noires,NA
Rougheye/Blackspotted Rockfish Complex,complexe du sébaste à œil épineux/sébaste à taches noires,NA
Roughtail Skate,raie à queue rude,NA
RR,RR,NA
RR-Based ERI,ITE fondé sur la RR,NA
RR-Based ERI vs. CWT-Based ERI,ITE fondé sur la RR contre \n un ITE obtenu par les MMC,NA
RR Input Escapement,Saisie du TER – Échappées,NA
RR Input vs. CTC Time Series,Saisie du RR et séries chrono. du CTSQ,NA
Run Reconstruction Model,Modèle de reconstitution des remontes,NA
Running Ripe,Pleins et actifs,NA
Sablefish,morue charbonnière,NA
Salmon,Saumon,NA
Salmon Shark,taupe du Pacifique,NA
Sand Sole,sole-pole,NA
Sandpaper Skate,raie rugueuse,NA
SAR,ZES,NA
SARA Status,Statut en vertu de la LEP,NA
SB,BSR,NA
scale age,âge Scalaire,NA
Scale Age,Âge Scalaire,NA
Scaled abundance,Abondance mise à l’échelle,NA
Scenario,Scénario,NA
Scenarios,Scénarios,NA
Scientific name,Nom scientifique,NA
Scott Islands Marine National Wildlife Area,Réserve nationale de faune en milieu marin des îles Scott,NA
Secondary age (years),Âge secondaire (ans),NA
Section,Section,NA
Seine,Senne,NA
Sep,sep,NA
Sept,sept,NA
Series,Séries,NA
Sex,Sexe,NA
SGaan Kinghlas Bowie Seamount Marine Protected Area,Zone de protection marine du mont sous-marin Bowie (SGaan Kinghlas),NA
Sharpchin Rockfish,sébaste à menton pointu,NA
Shiner Perch,perche-méné,NA
Shortfin Eelpout,lycode à courtes nageoires,NA
Shortraker Rockfish,sébaste boréal,NA
Shortspine Thornyhead,sébastolobe à courtes épines,NA
Silvergray Rockfish,sébaste argenté,NA
Slender Sole,plie mince,NA
Slim Sculpin,chabot élancé,NA
Smootheye Poacher,agone à nageoire coupée,NA
Snake Prickleback,lompénie-serpent,NA
SoG,DG,NA
Source,Source,NA
South Thompson,Thompson sud,NA
Southern Rock Sole,fausse limande du Pacifique sud,NA
Spatial random effects,Effets aléatoires spatiaux,NA
Spatial random effects only,Effets aléatoires spatiaux seulement,NA
Spatiotemporal random effects only,Effets aléatoires spatio-temporels seulement,NA
Spawn index,Indice du frai,NA
Spawning Age,Âge de frai,NA
Spawning biomass,Biomasse reproductrice,NA
Spawning biomass production,Production de la biomasse du stock reproducteur,NA
Spawning stock biomass,Biomasse reproductrice,NA
Special Concern,Espèce préoccupante,NA
Species at Risk Act Management Plan Series,Série des plans de gestion de la Loi sur les espèces en péril.,NA
Species at Risk Act Recovery Strategy,Série de programmes de rétablissement de la Loi sur les espèces en péril,NA
Species code,Code d'espèce,NA
Spent,Vides,NA
Spinyhead Sculpin,chabot à tête épineuse,NA
Splitnose Rockfish,bec-de-lièvre,NA
Spotfin Sculpin,icéline à nageoires tachetées,NA
Spotted Ratfish,chimère d'Amérique,NA
Spring,Printemps,NA
SSB,BSR,NA
SSB/Blim,BSR/Blim,NA
Starry Flounder,flet étoilé,NA
Strait of Georgia,Détroit de Georgie,NA
Strait of Georgia Rec.,"Pêche récr., détroit de Georgie",NA
Strait of Georgia/Howe Sound Sponge Reef Closures,Fermeture des pêches dans les récifs d'éponges du détroit de Georgie et de la baie Howe,NA
Stream-Type,Type cours d’eau,NA
Stripetail Rockfish,sébaste à queue rayée,NA
Sturgeon Poacher,agone-esturgeon,NA
Summary of RR vs CWT Estimated ERI,Sommaire des ITE estimés d’après la RR et d’après le MMC,NA
Summer,Été,NA
Surface,Surface,NA
Surface survey,Relevé en surface,NA
Survey,Relevé,NA
Survey biomass density,Densité de la biomasse du relevé,NA
Survey density (1000 fish/km^2),Densité du relevé (1 000 poissons/km2),NA
Survey period,Période du relevé,NA
Survey relative biomass indices,Indices de la biomasse du relevés,NA
Survey samples,Échantillons de relevé,NA
Survey specimen counts,Décompte des spécimens du relevé,NA
SWVI,SOIV,NA
Synoptic survey biomass,Biomasse du relevé synoptique,NA
T'aaq. Comm.,"T'aaq., pêche comm.",NA
Technical Report,Rapport technique,NA
Temperature,Temperature,NA
Term Pups,Petits à la taille du terme,NA
Test,Pêche d'essai,NA
Test fishery,"Pêche d'essai""""",NA
Thornback Sculpin,chabot à dos épineux,NA
Threadfin Grenadier,grenadier à filaments,NA
Threadfin Sculpin,icéline filamenteuse,NA
Threatened,Menacée,NA
Tiger Rockfish,sébaste-tigre,NA
Tons,Tonnes,NA
Tope Shark,milandre,NA
Total annual return abundance,by SMU,Abondance annuelle totale des remontes
Total ER Index,Indice du taux d’exploitation total,NA
Total ERI,Indice du taux d’exploitation total,NA
Total marine catch,by fishery,Total des prises marines
Trap,Casier,NA
Twoline Eelpout,lycode à deux lignes,NA
Type,Type,NA
Type-1: Fence or Fishway with virtually no bypass,Type-1 : Barrière ou passe migratoire avec pratiquement aucune dérivation,NA
Type-1B: Fence with significant breach,Type-1B : Barrière avec rupture importante,NA
Type-2: Mark-recapture,Type-2 : Marquage-recapture,NA
Type-3: High effort (5 or more surveys),Type-3 : Efforts importants (5 relevés ou plus),NA
"Type-4: Moderate effort (1-4 surveys), known survey method",Type-4 : Effort modéré (1-4 relevés),connaître la méthode de relevé
Type-5: Low effort (1 survey) inconsistent or poorly executed methods,"Type-5 : Faible effort (1 relevé), méthodes peu uniformes ou mal exécutées",NA
Uncertainty Level,Degré d’incertitude,NA
Unclipped Spawners,Géniteurs à la Nageoire Non Coupée,NA
UNK: Unknown how estimate was generated,INC : On ne sait pas comment l’estimation a été produite,NA
Unknown/trawl,Inconnu/chalut,NA
Upper Fraser,Haut Fraser,NA
USR,RSS,NA
Uterine Eggs,Oeufs utérins,NA
Value,Valeur,NA
Vermilion Rockfish,sébaste vermillon,NA
Vulnerable biomass,Biomasse vulnerable,NA
Walleye Pollock,goberge,NA
Wattled Eelpout,lycode tressée,NA
WCVI,COIV,NA
WCVI Rec.,"Pêche récr., COIV",NA
WCVI Troll,"Pêche à la traîne, COIV",NA
Week Start Day,Date de début de la semaine,NA
Weight,Poids,NA
Weight-at-age,Poids selon l’âge,NA
Weight at age,Poids selon l’âge,NA
West Coast of Vancouver Island,Côte Ouest de l’île de Vancouver,NA
Whitebait Smelt,éperlan blanchaille,NA
Whitebarred Prickleback,lompénie à barres blanches,NA
Whitespotted Greenling,sourcil à taches blanches,NA
Widow Rockfish,sébaste veuve,NA
Wolf Eel,loup ocellé,NA
Year,Année,NA
Years,Années,NA
Yelloweye Rockfish,sébastes aux yeux jaunes,NA
Yellowmouth Rockfish,sébaste à bouche jaune,NA
Yellowtail Rockfish,sébaste à queue jaune,NA
Yield,Rendement,NA
Yolk Sac Pups,Petits avec sac vitellus,NA
Zone 1 Years,Années de la zone 1,NA
Zone 2 Years,Années de la zone 1,NA
